국제표준연속 간행물번호(전자식),국제표준연속 간행물번호(종이식),학술지명(국문),학술지명(외국어),등재 구분,학술지 연구분야,창간년도,발행간기,사용언어,발행기관명(국문),발행기관명(영문),부설연구소 소속 대학,기관 구분
,12294306,동악어문학,Journal of Dong-ak Language and Literature,등재,인문학 > 한국어와문학,1965,연3회,"한국어,영어",동악어문학회,Dong-ak Society of Language and Literature,,학회
22113460,22113452,"Horticulture, Environment, and Biotechnology","Horticulture, Environment, and Biotechnology",등재,농수해양학 > 농학 > 원예학,1965,연6회,"한국어,영어",한국원예학회,Korean Society For Horticultural Science,,학회
,12262668,Shakespeare Review,Shakespeare Review,등재,인문학 > 영어와문학,1965,연4회,"한국어,영어",한국셰익스피어학회,The Shakespeare Association Of Korea,,학회
,12260800,문화재,MUN HWA JAE - Annual Review in Cultural Heritage Studies,등재,인문학 > 역사학,1965,연4회,"한국어,한국어",국립문화재연구소,National Research Institute of Cultural Properties,,일반기관
26719312,10177108,영어교육,English Teaching,등재,인문학 > 영어와문학,1965,연4회,"한국어,영어",한국영어교육학회,Korea Association Of Teachers Of English,,학회
22879005,12291889,품질경영학회지,Journal of Korean Society for Quality Management,등재,공학 > 산업공학,1965,연4회,"한국어,영어",한국품질경영학회,Korean Society For Quality Management,,학회
27334082,12299545,사림,"SARIM, The Historical Journal",등재,인문학 > 역사학,1965,연4회,"한국어,한국어",수선사학회,,,학회
,12293946,국어문학,,등재,인문학 > 한국어와문학,1965,연3회,"한국어,한국어",국어문학회,,,학회
,12268682,영어영문학연구,Studies in English Language & Literature,등재,인문학 > 영어와문학,1965,연4회,"한국어,영어",대한영어영문학회,The Association of English Language and Literature in Korea,,학회
2713945X,,불어불문학연구,Etudes de Langues et Litterature Francaises,등재,인문학 > 프랑스어와문학,1965,연4회,"한국어,프랑스어",한국불어불문학회,Societe Coreenne De Langue Et Litterature Francaises,,학회
19767951,19767633,Asia-Pacific Journal of Atmospheric Sciences,Asia-Pacific Journal of Atmospheric Sciences,등재,자연과학 > 대기과학,1965,연4회,한국어,한국기상학회,Korean Meteorological Society,,학회
25867113,2544474,어학연구,LANGUAGE RESEARCH,등재,인문학 > 언어학,1965,연3회,"한국어,영어",언어교육원,Language Education Institute,서울대학교,대학부설연구소
26717565,15987213,철학탐구 ,Philosophical Investigation,등재,인문학 > 철학,1965,연4회,"한국어,영어",중앙철학연구소,Institute of philosophy in Chung-Ang Univ.,중앙대학교,대학부설연구소
,12253529,사회과학논집,,등재,사회과학 > 사회과학일반 > 기타사회과학일반,1965,연2회,"한국어,영어",사회과학연구소,"Social Science Research Institute, Yonsei University",연세대학교,대학부설연구소
22887725,20929676,엘라스토머 및 콤포지트,Elastomers and Composites,등재,공학 > 고분자공학,1966,연4회,"한국어,영어",한국고무학회,The Rubber Society of Korea,,학회
20057172,17385261,Ocean Science Journal,Ocean Science Journal,등재,자연과학 > 해양학,1966,연4회,"영어,영어",한국해양과학기술원,Korea Institute of Ocean Science & Technology,,일반기관
23843268,23844434,대한치과재료학회지,Korean Journal of Dental Materials,등재,의약학 > 치의학,1966,연4회,"한국어,영어",대한치과재료학회,Korean Society For Dental Materials,,학회
,1229022X,철학연구,Journal of The Society of philosophical studies,등재,인문학 > 철학,1966,연4회,한국어,철학연구회,The Society Of Philosophical Studies,,학회
,12282472,SPACE,SPACE,등재,공학 > 건축공학 > 건축계획/설계,1966,연12회,"한국어,영어",주식회사 씨앤비미디어,"CNB Media Co.,Ltd.",,일반기관
22880011,2287979X,Blood Research,Blood Research,등재,의약학 > 병리학,1966,연4회,영어,대한혈액학회,,,학회
20059256,15982998,Cancer Research and Treatment,Cancer Research and Treatment,등재,의약학 > 의학일반,1966,연4회,"한국어,영어",대한암학회,Korean Cancer Association,,학회
